2020-11-14 02:00:15.404080 - ['R', '-50'] - RecursionError
2020-11-15 22:32:15.863034 - ['28.946', 'E'] - 400 °C(E)
2020-11-15 22:32:15.863138 - ['28.946r', 'E'] - 400 °C(E)
2020-11-15 22:32:15.863239 - ['500', 'E'] - 37.005 mV(E)
2020-11-15 22:32:15.863344 - ['500.0t', 'E'] - 37.005 mV(E)
2020-11-15 22:32:15.863449 - ['37.005', 'E'] - 500 °C(E)
2020-11-15 22:32:15.863554 - ['37.005r', 'E'] - 500 °C(E)
2020-11-15 22:32:15.863654 - ['600', 'E'] - 45.093 mV(E)
2020-11-15 22:32:15.863758 - ['600.0t', 'E'] - 45.093 mV(E)
2020-11-15 22:32:15.863851 - ['45.093', 'E'] - 600 °C(E)
2020-11-15 22:32:15.863955 - ['45.093r', 'E'] - 600 °C(E)
2020-11-15 22:32:15.864056 - ['700', 'E'] - 53.112 mV(E)
2020-11-15 22:32:15.864161 - ['700.0t', 'E'] - 53.112 mV(E)
2020-11-15 22:32:15.864262 - ['53.112', 'E'] - 700 °C(E)
2020-11-15 22:32:15.864366 - ['53.112r', 'E'] - 700 °C(E)
2020-11-15 22:32:15.864467 - ['800', 'E'] - 61.017 mV(E)
2020-11-15 22:32:15.864571 - ['800.0t', 'E'] - 61.017 mV(E)
2020-11-15 22:32:15.864665 - ['61.017', 'E'] - 800 °C(E)
2020-11-15 22:32:15.864767 - ['61.017r', 'E'] - 800 °C(E)
2020-11-15 22:32:15.864867 - ['900', 'E'] - 68.787 mV(E)
2020-11-15 22:32:15.864974 - ['900.0t', 'E'] - 68.787 mV(E)
2020-11-15 22:32:15.865068 - ['68.787', 'E'] - 900 °C(E)
2020-11-15 22:32:15.865178 - ['68.787r', 'E'] - 900 °C(E)
2020-11-15 22:32:15.865281 - ['1000', 'E'] - 76.373 mV(E)
2020-11-15 22:32:15.865386 - ['1000.0t', 'E'] - 76.373 mV(E)
2020-11-15 22:32:15.865481 - ['76.373', 'E'] - 1000 °C(E)
2020-11-15 22:32:15.865584 - ['76.373r', 'E'] - 1000 °C(E)
2020-11-15 22:32:15.866592 - ['-200', 'K'] - -5.891 mV(K)
2020-11-15 22:32:15.866703 - ['-200.0t', 'K'] - -5.891 mV(K)
2020-11-15 22:32:15.866800 - ['-5.891', 'K'] - -200 °C(K)
2020-11-15 22:32:15.866905 - ['-5.891r', 'K'] - -200 °C(K)
2020-11-15 22:32:15.867007 - ['-170', 'K'] - -5.354 mV(K)
2020-11-15 22:32:15.867122 - ['-170.0t', 'K'] - -5.354 mV(K)
2020-11-15 22:32:15.867217 - ['-5.354', 'K'] - -170 °C(K)
2020-11-15 22:32:15.867321 - ['-5.354r', 'K'] - -170 °C(K)
2020-11-15 22:32:15.867423 - ['-70', 'K'] - -2.587 mV(K)
2020-11-15 22:32:15.867529 - ['-70.0t', 'K'] - -2.587 mV(K)
2020-11-15 22:32:15.867623 - ['-2.587', 'K'] - -70 °C(K)
2020-11-15 22:32:15.867726 - ['-2.587r', 'K'] - -70 °C(K)
2020-11-15 22:32:15.867826 - ['30', 'K'] - 1.203 mV(K)
2020-11-15 22:32:15.867930 - ['30.0t', 'K'] - 1.203 mV(K)
2020-11-15 22:32:15.868025 - ['1.203', 'K'] - 30 °C(K)
